Name,PlayerID,Year,Tm,Age,G,winPct,pctGamesPlayed,MP,PTS,TRB,AST,STL,BLK,FG.,X3P.,FT.,WS,WS.48,TS,raptorO,raptorD,raptorPM,USG,Rank,First,Pts.Won,Pts.Max,Share,MVP
Stephen Curry,curryst01,2021,GSW,33,62,0.529,0.861,34.1,31.8,5.5,5.7,1.2,0.1,0.477,0.421,0.918,8.9,0.203,0.656,8.7,-1.8,6.9,34.5,X,X,X,X,X,X
Giannis Antetokounmpo,antetgi01,2021,MIL,26,60,0.644,0.833,33,28.4,11,4.5,1.2,1.2,0.57,0.303,0.689,10.2,0.247,0.635,4.7,2,6.7,32.7,X,X,X,X,X,X
Luka Doncic,doncilu01,2021,DAL,21,64,0.588,0.889,34.5,28,8,8.6,1,0.5,0.481,0.355,0.727,7.6,0.165,0.589,6.4,-1.2,5.2,36.1,X,X,X,X,X,X
Jayson Tatum,tatumja01,2021,BOS,22,63,0.501,0.875,35.9,26.4,7.3,4.3,1.2,0.5,0.46,0.386,0.865,6.4,0.135,0.577,3.9,-1.2,2.7,30.7,X,X,X,X,X,X
Kawhi Leonard,leonaka01,2021,LAC,29,52,0.676,0.722,34.1,24.8,6.5,5.2,1.6,0.4,0.512,0.398,0.885,8.9,0.24,0.622,6.3,1.5,7.8,28.6,X,X,X,X,X,X
LeBron James,jamesle01,2021,LAL,36,43,0.57,0.597,33.7,25,7.9,7.8,1,0.6,0.513,0.366,0.701,5.5,0.181,0.605,5.3,0.3,5.6,31.6,X,X,X,X,X,X
Julius Randle,randlju01,2021,NYK,26,69,0.559,0.958,37.4,24,10.2,5.9,0.9,0.2,0.457,0.412,0.815,7.6,0.14,0.568,1.1,2.1,3.2,29.1,X,X,X,X,X,X
Joel Embiid,embiijo01,2021,PHI,26,50,0.677,0.694,31.3,28.8,10.6,2.9,1,1.4,0.515,0.373,0.858,8.8,0.269,0.637,4,4.3,8.3,35.3,X,X,X,X,X,X
Nikola Jokic,jokicni01,2021,DEN,25,70,0.656,0.972,34.9,26.5,10.9,8.4,1.3,0.7,0.566,0.393,0.867,15.3,0.3,0.648,8.9,0.8,9.7,29.5,X,X,X,X,X,X
Damian Lillard,lillada01,2021,POR,30,66,0.576,0.917,35.9,28.9,4.2,7.5,0.9,0.3,0.45,0.388,0.927,10.3,0.208,0.622,7.4,-2.9,4.5,31.5,X,X,X,X,X,X
Chris Paul,paulch01,2021,PHO,35,69,0.698,0.958,31.5,16.4,4.4,8.9,1.4,0.3,0.497,0.395,0.933,9,0.199,0.597,4.2,-1.2,3,22.6,X,X,X,X,X,X
Russell Westbrook,westbru01,2021,WAS,32,63,0.462,0.875,36.3,22.2,11.5,11.7,1.3,0.4,0.441,0.319,0.651,3.3,0.069,0.508,0.2,-2.2,-2,30.5,X,X,X,X,X,X
James Harden,hardeja01,2021,BRK,31,43,0.66,0.597,36.8,25.1,8,10.9,1.2,0.7,0.466,0.363,0.862,6.8,0.207,0.619,6.7,2.1,4.6,28.7,X,X,X,X,X,X
Jimmy Butler,butleji01,2021,MIA,31,52,0.554,0.722,33.6,21.5,6.9,7.1,2.1,0.3,0.497,0.245,0.863,9.3,0.256,0.607,4.7,2.7,7.4,26.6,X,X,X,X,X,X
Zion Williamson,willizi01,2021,NOP,20,61,0.443,0.847,33.2,27,7.2,3.7,0.9,0.6,0.611,0.294,0.698,8.7,0.206,0.649,3.7,-0.7,2.9,29.8,X,X,X,X,X,X
