"Name","PlayerID","Year","Rank","MVP","First","Pts.Won","Pts.Max","Share","Age","Tm","G","winPct","pctGamesPlayed","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","TS","raptorO","raptorD","raptorPM","raptorWAR","USG"
"LeBron James","jamesle01",2020,2,0,16,753,1010,0.746,35,"LAL",67,0.764705882352941,0.985294117647059,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204,57.7,6.3,0.7,7.1,11.59,31.5
"James Harden","hardeja01",2020,3,0,0,367,1010,0.363,30,"HOU",68,0.647058823529412,1,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254,62.6,8.7,1.7,10.5,16.71,36.3
"Luka Dončić","doncilu01",2020,4,0,0,200,1010,0.198,20,"DAL",61,0.632352941176471,0.897058823529412,33.6,28.8,9.4,8.8,1,0.2,0.463,0.316,0.758,8.8,0.207,58.5,7.7,-1,6.6,9.94,36.8
"Kawhi Leonard","leonaka01",2020,5,0,0,168,1010,0.166,28,"LAC",57,0.720588235294118,0.838235294117647,32.4,27.1,7.1,4.9,1.8,0.6,0.47,0.378,0.886,8.7,0.226,58.9,6.5,3.3,9.8,11.73,33
"Anthony Davis","davisan02",2020,6,0,0,82,1010,0.081,26,"LAL",62,0.764705882352941,0.911764705882353,34.4,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,11.1,0.25,61,2,3.7,5.7,9.3,29.3
"Chris Paul","paulch01",2020,7,0,0,26,1010,0.026,34,"OKC",70,0.647058823529412,1,31.5,17.6,5,6.7,1.6,0.2,0.489,0.365,0.907,8.9,0.193,61,6,-1.6,4.5,8.12,23.3
"Damian Lillard","lillada01",2020,8,0,0,23,1010,0.023,29,"POR",66,0.514705882352941,0.970588235294118,37.5,30,4.3,8,1.1,0.3,0.463,0.401,0.888,11.6,0.225,62.7,8.6,-2,6.6,11.93,30.3
"Nikola Jokić","jokicni01",2020,9,0,0,18,1010,0.018,24,"DEN",73,0.676470588235294,1,32,19.9,9.7,7,1.2,0.6,0.528,0.314,0.817,9.8,0.202,60.5,4.4,0.8,5.2,9.38,26.6
"Pascal Siakam","siakapa01",2020,10,0,0,17,1010,0.017,25,"TOR",60,0.779411764705882,0.882352941176471,35.2,22.9,7.3,3.5,1,0.9,0.453,0.359,0.792,5.4,0.123,55.4,0.3,1.1,1.3,4.4,28.1
"Jimmy Butler","butleji01",2020,11,0,0,9,1010,0.009,30,"MIA",58,0.647058823529412,0.852941176470588,33.8,19.9,6.7,6,1.8,0.6,0.455,0.244,0.834,9,0.221,58.5,4.1,2,6.1,8.8,25.1
"Jayson Tatum","tatumja01",2020,12,0,0,1,1010,0.001,21,"BOS",66,0.705882352941177,0.970588235294118,34.3,23.4,7,3,1.4,0.9,0.45,0.403,0.812,6.9,0.146,56.7,3.4,1.8,5.2,9.16,28.6
"James Harden","hardeja01",2019,2,0,23,776,1010,0.768,29,"HOU",78,0.646341463414634,0.951219512195122,36.8,36.1,6.6,7.5,2,0.7,0.442,0.368,0.879,15.2,0.254,61.6,9.8,1.1,10.9,20.06,40.5
"Paul George","georgpa01",2019,3,0,0,356,1010,0.352,28,"OKC",77,0.597560975609756,0.939024390243902,36.9,28,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201,58.3,5.3,3.8,9.1,17.38,29.5
"Nikola Jokić","jokicni01",2019,4,0,0,212,1010,0.21,23,"DEN",80,0.658536585365854,0.975609756097561,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226,58.9,5.6,1.8,7.4,13.03,27.4
"Stephen Curry","curryst01",2019,5,0,0,175,1010,0.173,30,"GSW",69,0.695121951219512,0.841463414634146,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,0.199,64.1,7.5,0.7,8.2,13.26,30.4
"Damian Lillard","lillada01",2019,6,0,0,69,1010,0.068,28,"POR",80,0.646341463414634,0.975609756097561,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1,0.205,58.8,6.8,-0.4,6.4,13.34,29.3
