"Name","PlayerID","Year","Tm","Age","G","winPct","pctGamesPlayed","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","TS","raptorO","raptorD","raptorPM","USG","Rank","First","Pts.Won","Pts.Max","Share","MVP"
"Giannis Antetokounmpo","antetgi01",2020,"MIL",25,63,0.823529411764706,0.926470588235294,30.4,29.5,13.6,5.6,1,1,0.553,0.304,0.633,11.1,0.279,61.3,5.5,3.9,9.3,37.5,1,85,962,1010,0.952,1
"LeBron James","jamesle01",2020,"LAL",35,67,0.764705882352941,0.985294117647059,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204,57.7,6.3,0.7,7.1,31.5,2,16,753,1010,0.746,0
"James Harden","hardeja01",2020,"HOU",30,68,0.647058823529412,1,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254,62.6,8.7,1.7,10.5,36.3,3,0,367,1010,0.363,0
"Luka Dončić","doncilu01",2020,"DAL",20,61,0.632352941176471,0.897058823529412,33.6,28.8,9.4,8.8,1,0.2,0.463,0.316,0.758,8.8,0.207,58.5,7.7,-1,6.6,36.8,4,0,200,1010,0.198,0
"Kawhi Leonard","leonaka01",2020,"LAC",28,57,0.720588235294118,0.838235294117647,32.4,27.1,7.1,4.9,1.8,0.6,0.47,0.378,0.886,8.7,0.226,58.9,6.5,3.3,9.8,33,5,0,168,1010,0.166,0
"Anthony Davis","davisan02",2020,"LAL",26,62,0.764705882352941,0.911764705882353,34.4,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,11.1,0.25,61,2,3.7,5.7,29.3,6,0,82,1010,0.081,0
"Chris Paul","paulch01",2020,"OKC",34,70,0.647058823529412,1,31.5,17.6,5,6.7,1.6,0.2,0.489,0.365,0.907,8.9,0.193,61,6,-1.6,4.5,23.3,7,0,26,1010,0.026,0
"Damian Lillard","lillada01",2020,"POR",29,66,0.514705882352941,0.970588235294118,37.5,30,4.3,8,1.1,0.3,0.463,0.401,0.888,11.6,0.225,62.7,8.6,-2,6.6,30.3,8,0,23,1010,0.023,0
"Nikola Jokić","jokicni01",2020,"DEN",24,73,0.676470588235294,1,32,19.9,9.7,7,1.2,0.6,0.528,0.314,0.817,9.8,0.202,60.5,4.4,0.8,5.2,26.6,9,0,18,1010,0.018,0
"Pascal Siakam","siakapa01",2020,"TOR",25,60,0.779411764705882,0.882352941176471,35.2,22.9,7.3,3.5,1,0.9,0.453,0.359,0.792,5.4,0.123,55.4,0.3,1.1,1.3,28.1,10,0,17,1010,0.017,0
