"Year","Winner","Base.Pred.Winner","Back.Pred.Winner","Forward.Pred.Winner","Both.Pred.Winner","Base.Winner.Score","Base.Pred.Scor","Back.Winner.Score","Back.Pred.Scor","Forward.Winner.Score","Forward.Pred.Scor","Both.Winner.Score","Both.Pred.Scor"
1995,"David Robinson","David Robinson","David Robinson","David Robinson","David Robinson",0.400082956817528,0.400082956817528,0.364594037405555,0.364594037405555,0.41020092454747,0.41020092454747,0.364594037405555,0.364594037405555
2002,"Tim Duncan","Tim Duncan","Tim Duncan","Tim Duncan","Tim Duncan",0.729054452596504,0.729054452596504,0.680972690183949,0.680972690183949,0.756954102380985,0.756954102380985,0.680972690183949,0.680972690183949
2007,"Dirk Nowitzki","Dirk Nowitzki","Dirk Nowitzki","Dirk Nowitzki","Dirk Nowitzki",0.872466969257165,0.872466969257165,0.828408030554621,0.828408030554621,0.566131005783964,0.566131005783964,0.828408030554621,0.828408030554621
2008,"Kobe Bryant","Chris Paul","Kevin Garnett","Kevin Garnett","Kevin Garnett",0.0318196304029086,0.380582685781161,0.0303675488074014,0.540070915658072,0.0499779914713375,0.337672512977933,0.0303675488074014,0.540070915658072
2014,"Kevin Durant","Kevin Durant","Kevin Durant","Kevin Durant","Kevin Durant",0.741279679077724,0.741279679077724,0.759598012972108,0.759598012972108,0.618352019148225,0.618352019148225,0.759598012972108,0.759598012972108
1981,"Julius Erving","Julius Erving","Larry Bird","Larry Bird","Larry Bird",0.19152645229804,0.19152645229804,0.135769237694816,0.229210845940465,0.0740744146060376,0.127790720531905,0.135769237694816,0.229210845940465
2004,"Kevin Garnett","Kevin Garnett","Kevin Garnett","Kevin Garnett","Kevin Garnett",0.928574429594098,0.928574429594098,0.892431952680763,0.892431952680763,0.77222566848655,0.77222566848655,0.892431952680763,0.892431952680763
1993,"Charles Barkley","Hakeem Olajuwon","Hakeem Olajuwon","Michael Jordan","Hakeem Olajuwon",0.117921035685537,0.494783356571334,0.204437087619116,0.387568549159527,0.333799938581743,0.439381693642882,0.204437087619116,0.387568549159527
1984,"Larry Bird","Larry Bird","Larry Bird","Larry Bird","Larry Bird",0.66264047999907,0.66264047999907,0.674784247941817,0.674784247941817,0.536625323001899,0.536625323001899,0.674784247941817,0.674784247941817
1990,"Magic Johnson","Magic Johnson","Magic Johnson","Magic Johnson","Magic Johnson",0.709032970569628,0.709032970569628,0.6450057432592,0.6450057432592,0.717883441837895,0.717883441837895,0.6450057432592,0.6450057432592
2005,"Steve Nash","Amar'e Stoudemire","Amar'e Stoudemire","Dirk Nowitzki","Amar'e Stoudemire",0.00596918796477326,0.0704250731220213,0.003148689436847,0.110619234919697,0.0101408227944458,0.08511481430974,0.003148689436847,0.110619234919697
1991,"Michael Jordan","Michael Jordan","Michael Jordan","Michael Jordan","Michael Jordan",0.955201727295673,0.955201727295673,0.939861615260009,0.939861615260009,0.720959327817285,0.720959327817285,0.939861615260009,0.939861615260009
1996,"Michael Jordan","Michael Jordan","Michael Jordan","Michael Jordan","Michael Jordan",0.919019045152774,0.919019045152774,0.924836664528537,0.924836664528537,0.96753373619384,0.96753373619384,0.924836664528537,0.924836664528537
2019,"Giannis Antetokounmpo","Giannis Antetokounmpo","Giannis Antetokounmpo","Giannis Antetokounmpo","Giannis Antetokounmpo",0.878507995016532,0.878507995016532,0.954866132087556,0.954866132087556,0.541404430614677,0.541404430614677,0.954866132087556,0.954866132087556
2011,"Derrick Rose","Derrick Rose","Derrick Rose","Derrick Rose","Derrick Rose",0.847720427231234,0.847720427231234,0.752525711310286,0.752525711310286,0.239829255739936,0.239829255739936,0.752525711310286,0.752525711310286
2001,"Allen Iverson","Shaquille O'Neal","Shaquille O'Neal","Shaquille O'Neal","Shaquille O'Neal",0.0321213768623512,0.352258263701909,0.154430323802685,0.364704120507728,0.0746141300921657,0.250361374648699,0.154430323802685,0.364704120507728
1983,"Moses Malone","Moses Malone","Moses Malone","Moses Malone","Moses Malone",0.678209739211897,0.678209739211897,0.816598711184214,0.816598711184214,0.783069778469863,0.783069778469863,0.816598711184214,0.816598711184214
2020,"Giannis Antetokounmpo","Giannis Antetokounmpo","Giannis Antetokounmpo","Giannis Antetokounmpo","Giannis Antetokounmpo",0.850696232571999,0.850696232571999,0.869923703516783,0.869923703516783,0.877144598712067,0.877144598712067,0.869923703516783,0.869923703516783
1980,"Kareem Abdul-Jabbar","Kareem Abdul-Jabbar","Kareem Abdul-Jabbar","Kareem Abdul-Jabbar","Kareem Abdul-Jabbar",0.305872599198334,0.305872599198334,0.160654429823472,0.160654429823472,0.250717127853443,0.250717127853443,0.160654429823472,0.160654429823472
1997,"Karl Malone","Karl Malone","Karl Malone","Karl Malone","Karl Malone",0.972860281256875,0.972860281256875,0.975046293389972,0.975046293389972,0.92305931139744,0.92305931139744,0.975046293389972,0.975046293389972
2016,"Stephen Curry","Stephen Curry","Stephen Curry","Stephen Curry","Stephen Curry",0.955064560272903,0.955064560272903,0.958772848713545,0.958772848713545,0.96734217815898,0.96734217815898,0.958772848713545,0.958772848713545
2006,"Steve Nash","Dirk Nowitzki","Dirk Nowitzki","Dirk Nowitzki","Dirk Nowitzki",0.0224352596841204,0.379896302081828,0.00789480434342837,0.270403427680022,0.00391565400231494,0.239644213041518,0.00789480434342837,0.270403427680022
2000,"Shaquille O'Neal","Shaquille O'Neal","Shaquille O'Neal","Shaquille O'Neal","Shaquille O'Neal",0.975696756973509,0.975696756973509,0.974111492157856,0.974111492157856,0.973971598362029,0.973971598362029,0.974111492157856,0.974111492157856
1989,"Magic Johnson","Magic Johnson","Magic Johnson","Magic Johnson","Magic Johnson",0.718554127162536,0.718554127162536,0.692032116653575,0.692032116653575,0.653126440477271,0.653126440477271,0.692032116653575,0.692032116653575
2015,"Stephen Curry","Stephen Curry","Stephen Curry","Stephen Curry","Stephen Curry",0.248434691372757,0.248434691372757,0.222039746129283,0.222039746129283,0.376654660515555,0.376654660515555,0.222039746129283,0.222039746129283
2017,"Russell Westbrook","Russell Westbrook","Kevin Durant","James Harden","Kevin Durant",0.603853137781657,0.603853137781657,0.548758976595044,0.613726048026923,0.423246642440481,0.636180528136196,0.548758976595044,0.613726048026923
1985,"Larry Bird","Larry Bird","Larry Bird","Larry Bird","Larry Bird",0.842605074144324,0.842605074144324,0.774683697252956,0.774683697252956,0.711139485031959,0.711139485031959,0.774683697252956,0.774683697252956
2013,"LeBron James","LeBron James","LeBron James","LeBron James","LeBron James",0.965771907747316,0.965771907747316,0.972786274989016,0.972786274989016,0.898900916434862,0.898900916434862,0.972786274989016,0.972786274989016
2012,"LeBron James","LeBron James","LeBron James","LeBron James","LeBron James",0.810848437791807,0.810848437791807,0.698364625859934,0.698364625859934,0.310796740910374,0.310796740910374,0.698364625859934,0.698364625859934
1987,"Magic Johnson","Magic Johnson","Magic Johnson","Magic Johnson","Magic Johnson",0.95866392419307,0.95866392419307,0.9393416109962,0.9393416109962,0.919726017005371,0.919726017005371,0.9393416109962,0.9393416109962
1988,"Michael Jordan","Michael Jordan","Michael Jordan","Michael Jordan","Michael Jordan",0.389565480167251,0.389565480167251,0.490212368949611,0.490212368949611,0.459772293885471,0.459772293885471,0.490212368949611,0.490212368949611
1994,"Hakeem Olajuwon","Hakeem Olajuwon","Hakeem Olajuwon","David Robinson","Hakeem Olajuwon",0.576880804308964,0.576880804308964,0.440309275182134,0.440309275182134,0.0747992351438646,0.457528715054863,0.440309275182134,0.440309275182134
1986,"Larry Bird","Larry Bird","Larry Bird","Larry Bird","Larry Bird",0.954983081347419,0.954983081347419,0.942447501182911,0.942447501182911,0.811664301801396,0.811664301801396,0.942447501182911,0.942447501182911
1992,"Michael Jordan","Michael Jordan","Michael Jordan","Michael Jordan","Michael Jordan",0.950798233632765,0.950798233632765,0.950838247014684,0.950838247014684,0.923099987306381,0.923099987306381,0.950838247014684,0.950838247014684
2009,"LeBron James","LeBron James","LeBron James","LeBron James","LeBron James",0.829229376374148,0.829229376374148,0.85206013935679,0.85206013935679,0.968949643324351,0.968949643324351,0.85206013935679,0.85206013935679
2003,"Tim Duncan","Tim Duncan","Tim Duncan","Tim Duncan","Tim Duncan",0.330662196152861,0.330662196152861,0.223158055551728,0.223158055551728,0.310228246249497,0.310228246249497,0.223158055551728,0.223158055551728
2010,"LeBron James","LeBron James","LeBron James","LeBron James","LeBron James",0.855900920649027,0.855900920649027,0.871023431229844,0.871023431229844,0.911451667930057,0.911451667930057,0.871023431229844,0.871023431229844
2018,"James Harden","James Harden","James Harden","James Harden","James Harden",0.9132155961304,0.9132155961304,0.949278564488695,0.949278564488695,0.939734627171373,0.939734627171373,0.949278564488695,0.949278564488695
1998,"Michael Jordan","Michael Jordan","Michael Jordan","Karl Malone","Michael Jordan",0.595441083676768,0.595441083676768,0.57441354344817,0.57441354344817,0.298664006752557,0.402229663436304,0.57441354344817,0.57441354344817
1999,"Karl Malone","Karl Malone","Karl Malone","Karl Malone","Karl Malone",0.803972523919612,0.803972523919612,0.590524134009591,0.590524134009591,0.664689738690813,0.664689738690813,0.590524134009591,0.590524134009591
1982,"Moses Malone","Larry Bird","Larry Bird","Larry Bird","Larry Bird",0.0762958447495058,0.298085550273321,0.0999169088703714,0.450299159313715,0.0760075007591881,0.409077039406274,0.0999169088703714,0.450299159313715
