"Name","PlayerID","Year","Tm","Age","G","winPct","pctGamesPlayed","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","TS","raptorO","raptorD","raptorPM","USG","Rank","First","Pts.Won","Pts.Max","Share","MVP"
"Giannis Antetokounmpo","antetgi01",2020,"MIL",25,63,0.823529411764706,0.926470588235294,30.4,29.5,13.6,5.6,1,1,0.553,0.304,0.633,11.1,0.279,61.3,5.5,3.9,9.3,37.5,1,85,962,1010,0.952,1
"Giannis Antetokounmpo","antetgi01",2019,"MIL",24,72,0.731707317073171,0.878048780487805,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,64.4,4.2,2.6,6.8,32.3,1,78,941,1010,0.932,1
"James Harden","hardeja01",2018,"HOU",28,72,0.792682926829268,0.878048780487805,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,61.9,9.1,1.2,10.3,36.1,1,86,965,1010,0.955,1
"Russell Westbrook","westbru01",2017,"OKC",28,81,0.573170731707317,0.98780487804878,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,55.4,7.8,-1.3,6.5,41.7,1,69,888,1010,0.879,1
"Stephen Curry","curryst01",2016,"GSW",27,79,0.890243902439024,0.963414634146341,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,66.9,11.1,2.8,13.9,32.6,1,131,1310,1310,1,1
"Stephen Curry","curryst01",2015,"GSW",26,80,0.817073170731707,0.975609756097561,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288,63.8,9.5,2.3,11.7,28.9,1,100,1198,1300,0.922,1
"Kevin Durant","duranke01",2014,"OKC",25,81,0.719512195121951,0.98780487804878,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,63.5,7.6,-0.6,7.1,33,1,119,1232,1250,0.986,1
"LeBron James","jamesle01",2013,"MIA",28,76,0.804878048780488,0.926829268292683,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,64,8.8,1.1,9.9,30.2,1,120,1207,1210,0.998,1
"LeBron James","jamesle01",2012,"MIA",27,62,0.696969696969697,0.939393939393939,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,60.5,7.6,2.1,9.6,32,1,85,1074,1210,0.888,1
"Derrick Rose","rosede01",2011,"CHI",22,81,0.75609756097561,0.98780487804878,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208,55,5.4,-0.4,5.1,32.2,1,113,1182,1210,0.977,1
"LeBron James","jamesle01",2010,"CLE",25,76,0.74390243902439,0.926829268292683,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299,60.4,9.5,2.2,11.7,33.5,1,116,1205,1230,0.98,1
"LeBron James","jamesle01",2009,"CLE",24,81,0.804878048780488,0.98780487804878,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,59.1,8.7,3.3,11.9,33.8,1,109,1172,1210,0.969,1
"Kobe Bryant","bryanko01",2008,"LAL",29,82,0.695121951219512,1,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208,57.6,5.8,1.3,7.1,31.4,1,82,1100,1260,0.873,1
"Dirk Nowitzki","nowitdi01",2007,"DAL",28,78,0.817073170731707,0.951219512195122,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278,60.5,5.8,0.4,6.2,28.9,1,83,1138,1290,0.882,1
"Steve Nash","nashst01",2006,"PHO",31,79,0.658536585365854,0.963414634146341,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212,63.2,6.5,-0.9,5.7,23.3,1,57,924,1250,0.739,1
"Steve Nash","nashst01",2005,"PHO",30,75,0.75609756097561,0.914634146341463,34.3,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887,10.9,0.203,60.6,7.1,-1.5,5.6,20.5,1,65,1066,1270,0.839,1
"Kevin Garnett","garneke01",2004,"MIN",27,82,0.707317073170732,1,39.4,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,18.3,0.272,54.7,5,4.6,9.7,29.6,1,120,1219,1230,0.991,1
"Tim Duncan","duncati01",2003,"SAS",26,81,0.731707317073171,0.98780487804878,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,56.4,3.5,4,7.5,28,1,60,962,1190,0.808,1
"Tim Duncan","duncati01",2002,"SAS",25,82,0.707317073170732,1,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257,57.6,3.6,3.3,6.9,29,1,57,954,1260,0.757,1
"Allen Iverson","iversal01",2001,"PHI",25,71,0.682926829268293,0.865853658536585,42,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19,51.8,3.5,0.8,4.3,35.9,1,93,1121,1240,0.904,1
"Shaquille O'Neal","onealsh01",2000,"LAL",27,79,0.817073170731707,0.963414634146341,40,29.7,13.6,3.8,0.5,3,0.574,0,0.524,18.6,0.283,57.8,4.3,3.8,8.1,31.2,1,120,1207,1210,0.998,1
"Karl Malone","malonka01",1999,"UTA",35,49,0.74,0.98,37.4,23.8,9.4,4.1,1.3,0.6,0.493,0,0.788,9.6,0.252,57.7,3.7,1.2,4.8,30.5,1,44,827,1180,0.701,1
"Michael Jordan","jordami01",1998,"CHI",34,82,0.75609756097561,1,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,15.8,0.238,53.3,3.9,1.7,5.6,33.7,1,92,1084,1160,0.934,1
"Karl Malone","malonka01",1997,"UTA",33,82,0.780487804878049,1,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0,0.755,16.7,0.268,60,5.9,1.1,7,32.7,1,63,986,1150,0.857,1
"Michael Jordan","jordami01",1996,"CHI",32,82,0.878048780487805,1,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317,58.2,7.8,2.9,10.6,33.3,1,109,1114,1130,0.986,1
"David Robinson","robinda01",1995,"SAS",29,81,0.75609756097561,0.98780487804878,38,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273,60.2,3.3,5,8.3,29.9,1,73,901,1050,0.858,1
"Hakeem Olajuwon","olajuha01",1994,"HOU",31,80,0.707317073170732,0.975609756097561,41,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21,56.5,0.5,5.3,5.9,29.8,1,66,889,1010,0.88,1
"Charles Barkley","barklch01",1993,"PHO",29,76,0.75609756097561,0.926829268292683,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,0.242,59.6,5.6,1.6,7.2,26.9,1,59,835,980,0.852,1
"Michael Jordan","jordami01",1992,"CHI",28,80,0.817073170731707,0.975609756097561,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274,57.9,7.2,2.8,10,31.7,1,80,900,960,0.938,1
"Michael Jordan","jordami01",1991,"CHI",27,82,0.74390243902439,1,37,31.5,6,5.5,2.7,1,0.539,0.312,0.851,20.3,0.321,60.5,8.8,3.1,12,32.9,1,77,891,960,0.928,1
"Magic Johnson","johnsma02",1990,"LAL",30,79,0.768292682926829,0.963414634146341,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27,62.2,9,0.5,9.5,24.8,1,27,636,920,0.691,1
"Magic Johnson","johnsma02",1989,"LAL",29,77,0.695121951219512,0.939024390243902,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267,62.5,8.8,0.5,9.3,24.3,1,42.5,664.5,850,0.782,1
"Michael Jordan","jordami01",1988,"CHI",24,82,0.609756097560976,1,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308,60.3,7.8,3.8,11.7,34.1,1,47,665,800,0.831,1
"Magic Johnson","johnsma02",1987,"LAL",27,80,0.792682926829268,0.975609756097561,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263,60.2,8.2,0.6,8.7,26.3,1,65,733,780,0.94,1
"Larry Bird","birdla01",1986,"BOS",29,82,0.817073170731707,1,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244,58,6.1,2.6,8.8,27.6,1,73,765,780,0.981,1
"Larry Bird","birdla01",1985,"BOS",28,80,0.768292682926829,0.975609756097561,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238,58.5,5.9,2,7.9,28.5,1,73,763,780,0.978,1
"Larry Bird","birdla01",1984,"BOS",27,79,0.75609756097561,0.963414634146341,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215,55.2,4.4,2.2,6.6,26.7,1,52,652,760,0.858,1
"Moses Malone","malonmo01",1983,"PHI",27,78,0.792682926829268,0.951219512195122,37.5,24.5,15.3,1.3,1.1,2,0.501,0,0.761,15.1,0.248,57.8,3,3.1,6.2,26,1,69,720,750,0.96,1
"Moses Malone","malonmo01",1982,"HOU",26,81,0.560975609756098,0.98780487804878,42,31.1,14.7,1.8,0.9,1.5,0.519,0,0.762,15.4,0.218,57.6,3.7,0.2,3.9,29.9,1,40,507,690,0.735,1
"Julius Erving","ervinju01",1981,"PHI",30,82,0.75609756097561,1,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231,57.2,4.3,3,7.3,28.4,1,28,454,690,0.658,1
"Kareem Abdul-Jabbar","abdulka01",1980,"LAL",32,82,0.731707317073171,1,38.3,24.8,10.8,4.5,1,3.4,0.604,0,0.765,14.8,0.227,63.9,3,2.4,5.3,24.1,1,147,147,221,0.665,1
